StartTime,EndTime,course_id,course_name,instructor_name,room
10:45 AM,12:15 PM,CSE312,Discrete Mathematics,Eng. Nada Hamdy,R101
10:45 AM,12:15 PM,AID311,Mathematics of Data Science,Eng. Tarek Salah,L30
10:45 AM,12:15 PM,AID417,Advanced Data Mining,Eng. Fatma Elsayed,R112
12:30 PM,2:00 PM,LRA103,Fine Arts Appreciation-Drawing and Paintings,Dr. Amal Gomaa,R108
12:30 PM,2:00 PM,LRA206,Sociology of work,Prof. Said Sadik,R102
2:15 PM,3:45 PM,LRA101,Japanese Culture,Dr. Sherine Elmotasem,R110
2:15 PM,3:45 PM,AID323,Parallel & Distributed Computing,Eng. Menna Magdy,L18
9:00 AM,10:30 AM,LRA403,Japanese Language (3),Dr. Kenji Tanaka,R106
9:00 AM,10:30 AM,LRA404,Japanese Language (4),Dr. Haruto Ito,R107
9:00 AM,10:30 AM,LRA405,Key Skills Seminar (1),Dr. Maali Fouad,R111
9:00 AM,10:30 AM,AID426,Robotics,Eng. Menna Hamdi,L16
